PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,core,cleanup_dev_data,core.cleanup_dev_data,N/A,trading,orders_order_id_seq,trading.orders_order_id_seq,157,ALTER
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,core,cleanup_dev_data,core.cleanup_dev_data,N/A,trading,trades_trade_id_seq,trading.trades_trade_id_seq,158,ALTER
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,audit,log_performance_metrics,audit.log_performance_metrics,N/A,N/A,pg_stat_activity,pg_stat_activity,184,SELECT - FROM
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,audit,security_audit,audit.security_audit,N/A,N/A,pg_user,pg_user,206,SELECT - FROM
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,core,health_check,core.health_check,N/A,N/A,pg_stat_activity,pg_stat_activity,260,SELECT - FROM
85141c89-454c-4332-ac2a-5a045f33db04,12_deployment_setup.sql,CREATE FUNCTION,N/A,core,health_check,core.health_check,N/A,N/A,version,version,271,SQL STATEMENT
85141c89-454c-4332-ac2a-5a045f33db04,13_generate_bulk_data.sql,INSERT,N/A,N/A,N/A,N/A,N/A,N/A,crypt,crypt,262,SELECT - COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,13_generate_bulk_data.sql,INSERT,N/A,N/A,N/A,N/A,N/A,N/A,gen_salt,gen_salt,262,SELECT - COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,13_generate_bulk_data.sql,INSERT,N/A,N/A,N/A,N/A,N/A,N/A,md5,md5,263,SELECT - COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,13_generate_bulk_data.sql,INSERT,N/A,N/A,N/A,N/A,N/A,N/A,crypt,crypt,269,SELECT - COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,13_generate_bulk_data.sql,INSERT,N/A,N/A,N/A,N/A,N/A,N/A,gen_salt,gen_salt,269,SELECT - COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,14_csv_export_scripts.sql,CREATE FUNCTION,N/A,analytics,get_table_statistics,analytics.get_table_statistics,N/A,N/A,pg_class,pg_class,267,SELECT - JOIN
85141c89-454c-4332-ac2a-5a045f33db04,14_csv_export_scripts.sql,CREATE FUNCTION,N/A,analytics,get_table_statistics,analytics.get_table_statistics,N/A,N/A,pg_namespace,pg_namespace,268,SELECT - JOIN
