SqlRevokeTotalOccurrences,0
SqlRevokeTotalParsingErrors,0
SqlSizeMB,0.26MB
SqlTableCharacterConversionRate,99.7
SqlTableFullyConvertedOccurrences,155
SqlTableLoCConversionRate,99.6
SqlTableObjectConversionRate,93.94
SqlTableTotalCharacters,93271
SqlTableTotalConversionErrors,0
SqlTableTotalLinesOfCode,2753
SqlTableTotalOccurrences,165
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,377
SqlTotalCharacters,228207
SqlTotalConversionErrors,0
SqlTotalOccurrences,14
SqlTotalParsingErrors,23
SqlTotalWarnings,1025
SqlTypeCharacterConversionRate,0
SqlTypeFullyConvertedOccurrences,0
SqlTypeLoCConversionRate,0
SqlTypeObjectConversionRate,0
SqlTypeTotalCharacters,0
SqlTypeTotalConversionErrors,0
SqlTypeTotalLinesOfCode,0
SqlTypeTotalOccurrences,0
SqlTypeTotalParsingErrors,0
SqlTypeTotalWarnings,0
SqlUnrecognizedElementsLOC,56
SqlViewCharacterConversionRate,92.62
SqlViewFullyConvertedOccurrences,13
SqlViewLoCConversionRate,93.83
SqlViewObjectConversionRate,59.09
SqlViewTotalCharacters,17903
SqlViewTotalConversionErrors,0
SqlViewTotalLinesOfCode,486
SqlViewTotalOccurrences,22
SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,19
StartConversion,2025/08/14 18:52:28 -04:00
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,99.7
TableFullyConvertedOccurrences,155
TableLoCConversionRate,99.6
TableObjectConversionRate,93.94
TableTotalCharacters,93271
TableTotalConversionErrors,0
TableTotalLinesOfCode,2753
TableTotalOccurrences,165
TableTotalParsingErrors,0
TableTotalWarnings,377
TableValuedFunctionsLOC,0
TotalCharacterConversionRate,91.71
TotalCodeUnits,516
TotalConversionErrors,0
TotalConvertedLines,5147
TotalErrors,387
TotalFiles,14
TotalFilesNotGenerated,0
TotalIdentifiedObjects,415
TotalInvalidFiles,19
TotalLinesOfCode,5778
TotalLoCConversionRate,89.08
TotalMissingObjectReferences,38
TotalNonParsingTransformationExceptions,0
TotalOtherEWIs,367
TotalParsingErrors,23
TotalParsingEWIs,23
TotalSize,0.26MB
TotalValidatedFiles,19
TotalWarnings,438
TransformationTime,0.854763
TriggerLinesOfCode,10
Triggers,3
UniqueFDMs,8
UniqueMissingObjectReferences,19
UniqueOtherCriticalIssues,0
UniqueParsingIssues,1
UniquePRFs,1
UnrecognizedElements,21
UnrecognizedElementsLOC,56
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
ViewCharacterConversionRate,92.62
ViewFullyConvertedOccurrences,13
ViewLoCConversionRate,93.83
ViewObjectConversionRate,59.09
ViewTotalCharacters,17903
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,486
ViewTotalOccurrences,22
ViewTotalParsingErrors,0
ViewTotalWarnings,19
WorkloadName,
