SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
85141c89-454c-4332-ac2a-5a045f33db04,Critical,SSC-EWI-0001,Error parsing the source code,UNRECOGNIZED TOKEN ON LINE '477' COLUMN '1' OF THE SOURCE CODE STARTING AT 'COMMENT'. EXPECTED 'STATEMENT' GRAMMAR. LAST MATCHING TOKEN WAS ';' ON LINE '475' COLUMN '63'.,13_generate_bulk_data.sql,477,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-PG0018,"Analyze statement is commented out, which is not applicable in Snowflake.","ANALYZE STATEMENT IS COMMENTED OUT, WHICH IS NOT APPLICABLE IN SNOWFLAKE.",13_generate_bulk_data.sql,464,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DropFunction' NODE,13_generate_bulk_data.sql,461,0,N/A,N/A,N/A,N/A,N/A,DROP FUNCTION,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DropFunction' NODE,13_generate_bulk_data.sql,460,0,N/A,N/A,N/A,N/A,N/A,DROP FUNCTION,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DropFunction' NODE,13_generate_bulk_data.sql,459,0,N/A,N/A,N/A,N/A,N/A,DROP FUNCTION,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DropFunction' NODE,13_generate_bulk_data.sql,458,0,N/A,N/A,N/A,N/A,N/A,DROP FUNCTION,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'DropFunction' NODE,13_generate_bulk_data.sql,457,0,N/A,N/A,N/A,N/A,N/A,DROP FUNCTION,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,454,12,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,437,12,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'AsColumnDefinition' NODE,13_generate_bulk_data.sql,419,80,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Low,SSC-EWI-0036,Data type converted to other data type,INTERVAL DATA TYPE CONVERTED TO VARCHAR,13_generate_bulk_data.sql,419,69,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,419,48,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,411,6,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,409,33,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,387,6,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,385,33,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,365,33,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,364,33,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,333,16,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,327,16,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'TableValuedFunctionCall' NODE,13_generate_bulk_data.sql,306,6,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'INTERVAL FORMAT' NODE,13_generate_bulk_data.sql,305,54,N/A,N/A,N/A,N/A,N/A,INSERT,N/A
