PartitionKey,FileType,Category,CodeUnit,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,395,25,5,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,88%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,373,21,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,90.48%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,358,14,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,85.71%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,337,20,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,313,23,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,91.3%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,293,19,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,89.47%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,289,3,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,259,29,4,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,86.21%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,238,20,3,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,90%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,233,4,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,216,16,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,93.75%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,201,14,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
